"","fecha","posicion","cancion","artista"
"180",1983-04-16,53,"Affair Of The Heart","Rick Springfield"
"181",1983-05-28,53,"Baby Jane","Rod Stewart"
"182",1983-11-19,53,"Read 'Em And Weep","Barry Manilow"
"183",1984-06-30,53,"She's Mine","Steve Perry"
"184",1985-02-02,53,"Save A Prayer","Duran Duran"
"185",1985-08-17,53,"Saving All My Love For You","Whitney Houston"
"186",1987-05-16,53,"Alone","Heart"
"187",1988-05-07,53,"Dirty Diana","Michael Jackson"
"188",1988-06-11,53,"Roll With It","Steve Winwood"
"189",1989-06-17,53,"Batdance (From ""Batman"")","Prince"
"190",1989-09-02,53,"Sowing The Seeds Of Love","Tears For Fears"
"191",1990-12-22,53,"All The Man That I Need","Whitney Houston"
"192",1991-03-16,53,"Rhythm Of My Heart","Rod Stewart"
"193",1991-06-29,53,"(Everything I Do) I Do It For You","Bryan Adams"
"194",1992-01-25,53,"Remember The Time","Michael Jackson"
"195",1992-08-15,53,"Sometimes Love Just Ain't Enough","Patty Smyth With Don Henley"
"196",1993-10-16,53,"Breathe Again","Toni Braxton"
"197",1995-08-26,53,"1st Of Tha Month","Bone Thugs-N-Harmony"
"198",1996-11-16,53,"Bittersweet Me","R.E.M."
"199",1998-06-27,53,"Spark","Tori Amos"
"200",1998-12-05,53,"Right On The Money","Alan Jackson"
"201",2001-02-10,53,"Around The World (La La La La La)","ATC"
"202",2003-08-16,53,"So Yesterday","Hilary Duff"
"203",2004-02-28,53,"Come Clean","Hilary Duff"
"204",2005-02-05,53,"Candy Shop","50 Cent Featuring Olivia"
"205",2006-08-19,53,"About Us","Brooke Hogan Featuring Paul Wall"
"206",2007-10-06,53,"Do It Well","Jennifer Lopez"
"207",2008-12-13,53,"Sober","P!nk"
"208",2010-03-13,53,"Break Your Heart","Taio Cruz Featuring Ludacris"
"209",2010-05-15,53,"One Less Bell To Answer / A House Is Not A Home","Glee Cast Featuring Kristin Chenoweth"
"210",2010-08-21,53,"Not Like The Movies","Katy Perry"
"211",2010-10-16,53,"Stronger","Glee Cast"
"212",2010-12-04,53,"S&M","Rihanna Featuring Britney Spears"
"213",2011-11-26,53,"Run","Matt Nathanson Featuring Sugarland"
"214",2012-11-17,53,"Better Dig Two","The Band Perry"
"215",2013-08-10,53,"Burn","Ellie Goulding"
"216",2013-11-23,53,"Bad Day","Justin Bieber"
"217",2015-12-05,53,"Company","Justin Bieber"
"218",2017-04-22,53,"Craving You","Thomas Rhett Featuring Maren Morris"
"219",2017-09-09,53,"Roll In Peace","Kodak Black Featuring XXXTENTACION"
"220",1958-11-01,54,"Beep Beep","The Playmates"
"221",1960-05-07,54,"Ding-A-Ling","Bobby Rydell"
"222",1960-11-05,54,"Sway","Bobby Rydell"
"223",1968-09-21,54,"Over You","Gary Puckett And The Union Gap"
"224",1976-11-13,54,"Sorry Seems To Be The Hardest Word","Elton John"
"225",1980-05-03,54,"Against The Wind","Bob Seger"
"226",1980-11-22,54,"One Step Closer","The Doobie Brothers"
"227",1983-02-26,54,"Change Of Heart","Tom Petty And The Heartbreakers"
"228",1983-10-22,54,"Church Of The Poison Mind","Culture Club"
"229",1983-11-05,54,"Synchronicity II","The Police"
"230",1984-09-15,54,"Blue Jean","David Bowie"
"231",1984-10-06,54,"Penny Lover","Lionel Richie"
"232",1985-04-20,54,"Say You're Wrong","Julian Lennon"
"233",1986-02-01,54,"R.O.C.K. In The U.S.A. (A Salute to 60's Rock)","John Mellencamp"
"234",1988-07-23,54,"Another Part Of Me","Michael Jackson"
"235",1989-04-29,54,"Pop Singer","John Mellencamp"
"236",1992-12-19,54,"A Whole New World (Aladdin's Theme)","Peabo Bryson & Regina Belle"
"237",1993-12-11,54,"Really Doe","Ice Cube"
"238",1995-10-21,54,"Ain't Nuthin' But A She Thing","Salt-N-Pepa"
"239",1998-07-11,54,"Nobody Does It Better","Nate Dogg Featuring Warren G"
"240",1998-10-24,54,"Perfect","The Smashing Pumpkins"
"241",2002-02-09,54,"Oops (Oh My)","Tweet"
"242",2002-07-13,54,"Dilemma","Nelly Featuring Kelly Rowland"
"243",2002-08-03,54,"Cleanin' Out My Closet","Eminem"
"244",2003-11-15,54,"Change Clothes","JAY-Z"
"245",2004-01-31,54,"One Call Away","Chingy Featuring J. Weav"
"246",2004-12-11,54,"Disco Inferno","50 Cent"
"247",2006-06-03,54,"Chasing Cars","Snow Patrol"
"248",2006-12-23,54,"A Great Big Sled","The Killers Featuring Toni Halliday"
"249",2008-04-12,54,"Party People","Nelly Featuring Fergie"
"250",2009-03-14,54,"All The Above","Maino Featuring T-Pain"
"251",2009-08-15,54,"American Ride","Toby Keith"
"252",2010-10-16,54,"Baby One More Time","Glee Cast"
"253",2010-11-13,54,"Dear John","Taylor Swift"
"254",2012-11-03,54,"Catch My Breath","Kelly Clarkson"
"255",2013-12-07,54,"PYD","Justin Bieber Featuring R. Kelly"
"256",2014-11-15,54,"Only","Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown"
"257",2015-02-21,54,"Blessings","Big Sean Featuring Drake"
"258",2016-03-26,54,"Came Here To Forget","Blake Shelton"
"259",2016-04-23,54,"Pt. 2","Kanye West"
"260",2016-11-19,54,"Better Man","Little Big Town"
"261",2017-03-04,54,"Bom Bidi Bom","Nick Jonas & Nicki Minaj"
"262",2017-03-11,54,"Rent Money","Future"
"263",2017-05-06,54,"Blood.","Kendrick Lamar"
"264",1959-03-07,55,"Come Softly To Me","The Fleetwoods"
"265",1961-12-30,55,"Dear Ivan","Jimmy Dean"
"266",1969-08-02,55,"Share Your Love With Me","Aretha Franklin"
"267",1970-08-22,55,"Peace Will Come (According To Plan)","Melanie"
"268",1970-11-14,55,"Black Magic Woman","Santana"
"269",1970-11-21,55,"One Man Band","Three Dog Night"
"270",1971-03-06,55,"Another Day/Oh Woman Oh Why","Paul McCartney"
"271",1971-03-13,55,"Sit Yourself Down","Stephen Stills"
"272",1972-11-11,55,"Sweet Surrender","Bread"
"273",1979-05-26,55,"Bad Girls","Donna Summer"
"274",1982-07-10,55,"Take It Away","Paul McCartney"
"275",1983-05-28,55,"Roll Me Away","Bob Seger & The Silver Bullet Band"
"276",1985-03-02,55,"Crazy For You","Madonna"
"277",1985-03-16,55,"Some Things Are Better Left Unsaid","Daryl Hall John Oates"
"278",1985-05-25,55,"Sentimental Street","Night Ranger"
"279",1985-06-29,55,"Summer Of '69","Bryan Adams"
"280",1987-01-17,55,"Respect Yourself","Bruce Willis"
"281",1989-11-11,55,"Oh Father","Madonna"
"282",1990-04-28,55,"Children Of The Night","Richard Marx"
"283",1990-11-03,55,"One And Only Man","Steve Winwood"
"284",1991-01-26,55,"Coming Out Of The Dark","Gloria Estefan"
"285",1993-07-17,55,"Right Here (Human Nature)/Downtown","SWV"
"286",1993-11-06,55,"Said I Loved You...But I Lied","Michael Bolton"
"287",1995-06-24,55,"Colors Of The Wind (From ""Pocahontas"")","Vanessa Williams"
"288",1996-10-19,55,"Bohemian Rhapsody (From ""High School High"")","The Braids"
"289",1997-08-16,55,"Big Bad Mamma (From ""Def Jam's How To Be A Player"")","Foxy Brown Featuring Dru Hill"
"290",1997-10-18,55,"Sock It 2 Me","Missy ""Misdemeanor"" Elliott Featuring Da Brat"
"291",1998-09-05,55,"Splackavellie","Pressha"
"292",2002-06-15,55,"By The Way","Red Hot Chili Peppers"
"293",2003-02-01,55,"Superman","Eminem"
"294",2006-02-25,55,"Bad Day","Daniel Powter"
"295",2007-10-20,55,"Blue Magic","JAY-Z"
"296",2008-04-12,55,"Bust It Baby Part 2","Plies Featuring Ne-Yo"
"297",2008-08-02,55,"Paper Planes","M.I.A."
"298",2009-07-11,55,"21 Guns","Green Day"
"299",2011-03-12,55,"Blame It (On The Alcohol)","Glee Cast"
"300",1968-08-31,17,"Soul-Limbo","Booker T. & The MG's"
"301",1972-01-29,17,"Anticipation","Carly Simon"
"302",1975-09-20,17,"Solitaire","Carpenters"
"303",1976-10-23,17,"Beth/Detroit Rock City","KISS"
"304",1992-09-19,17,"Do I Have To Say The Words?","Bryan Adams"
"305",2003-07-19,17,"P.I.M.P.","50 Cent"
"306",1960-12-17,17,"Perfidia","The Ventures"
"307",1962-03-03,17,"Percolator (Twist)","Billy Joe & The Checkmates"
"308",1965-01-02,17,"Any Way You Want It","The Dave Clark Five"
"309",1973-06-02,17,"Steamroller Blues/Fool","Elvis Presley"
"310",1976-06-26,17,"Take The Money And Run","Steve Miller"
"311",1983-06-25,17,"Come Dancing","The Kinks"
"312",1984-08-25,17,"Rock Me Tonite","Billy Squier"
"313",1988-04-16,17,"One Step Up","Bruce Springsteen"
"314",1988-09-17,17,"A Nightmare On My Street","D.J. Jazzy Jeff & The Fresh Prince"
"315",1995-01-14,17,"Constantly","Immature"
"316",2001-02-03,17,"Danger (Been So Long)","Mystikal Featuring Nivea"
"317",2006-07-15,17,"Buttons","The Pussycat Dolls Featuring Snoop Dogg"
"318",2012-09-29,17,"Pound The Alarm","Nicki Minaj"
"319",1962-12-29,17,"Chains","The Cookies"
"320",1963-09-14,17,"Painted, Tainted Rose","Al Martino"
"321",1966-11-19,17,"Coming On Strong","Brenda Lee"
"322",1972-04-01,17,"Roundabout","Yes"
"323",1980-02-09,17,"Daydream Believer","Anne Murray"
"324",1988-04-09,17,"Prove Your Love","Taylor Dayne"
"325",1989-10-14,17,"Rock Wit'cha","Bobby Brown"
"326",1976-01-03,17,"Rock And Roll All Nite (live)","KISS"
"327",1984-10-13,17,"Some Guys Have All The Luck","Rod Stewart"
"328",1985-08-31,17,"Smokin' In The Boys Room","Motley Crue"
"329",1986-05-10,17,"All I Need Is A Miracle","Mike + The Mechanics"
"330",1989-04-29,17,"Cult Of Personality","Living Colour"
"331",1990-06-23,17,"Cradle Of Love (From ""Ford Fairlane"")","Billy Idol"
"332",2001-09-01,17,"One Minute Man","Missy ""Misdemeanor"" Elliott"
"333",2007-07-28,17,"Beautiful Girls","Sean Kingston"
"334",2013-02-09,17,"Daylight","Maroon 5"
"335",1977-12-03,17,"Slip Slidin' Away","Paul Simon"
"336",1982-03-27,17,"(oh) Pretty Woman","Van Halen"
"337",1985-12-21,17,"Burning Heart","Survivor"
"338",1988-01-23,17,"Say You Will","Foreigner"
"339",1991-03-23,17,"Rico Suave","Gerardo"
"340",1991-06-29,17,"Piece Of My Heart","Tara Kemp"
"341",1958-11-15,17,"Pussy Cat","The Ames Brothers"
"342",1961-04-22,17,"Portrait Of My Love","Steve Lawrence"
"343",1971-01-30,17,"Born To Wander","Rare Earth"
"344",1987-06-20,17,"Something So Strong","Crowded House"
"345",1988-03-12,17,"(Sittin' On) The Dock Of The Bay","Michael Bolton"
"346",1988-06-11,17,"Nothin' But A Good Time","Poison"
"347",1989-02-04,17,"Angel Of Harlem","U2"
"348",1992-10-17,17,"Real Love","Mary J. Blige"
"349",1995-09-23,17,"Carnival","Natalie Merchant"
"350",1968-12-14,17,"Cinnamon","Derek"
"351",1985-11-23,17,"Party All The Time","Eddie Murphy"
"352",1971-04-24,17,"Chick-A-Boom (Don't Ya Jes' Love It)","Daddy Dewdrop"
"353",1974-06-29,17,"Rikki Don't Lose That Number","Steely Dan"
"354",1989-08-19,17,"Shower Me With Your Love","Surface"
"355",2005-02-12,17,"Rich Girl","Gwen Stefani Featuring Eve"
"356",2007-01-20,17,"Runaway Love","Ludacris Featuring Mary J. Blige"
"357",1961-07-22,17,"Cupid","Sam Cooke"
"358",1983-01-29,17,"Pass The Dutchie","Musical Youth"
"359",1969-07-12,17,"Baby, I Love You","Andy Kim"
"360",2013-11-02,18,"Berzerk","Eminem"
"361",1966-12-17,18,"Stop Stop Stop","The Hollies"
"362",1964-07-18,18,"Bad To Me","Billy J. Kramer With The Dakotas"
"363",2008-08-09,18,"7 Things","Miley Cyrus"
"364",2011-02-19,18,"6 Foot 7 Foot","Lil Wayne Featuring Cory Gunz"
"365",1959-09-19,18,"Baby Talk","Jan & Dean"
"366",1999-07-03,18,"Chante's Got A Man","Chante Moore"
"367",2016-05-21,18,"Dangerous Woman","Ariana Grande"
"368",1967-07-08,18,"Ding Dong! The Witch Is Dead","The Fifth Estate"
